TIMESTAMP,CONTAINER,NAME,CPU%,MEM USAGE (MiB),LIMIT (GiB)
2017-12-21T21:31:54.000Z,61428eec9d85,--,0.00,,
2017-12-21T21:31:54.000Z,5ecd478a4f74,--,0.00,,
2017-12-21T21:31:57.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.047,15.31
2017-12-21T21:31:57.000Z,61428eec9d85,poll_server_1,0.66,47.46,15.31
2017-12-21T21:31:59.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.047,15.31
2017-12-21T21:31:59.000Z,61428eec9d85,poll_server_1,0.23,47.35,15.31
2017-12-21T21:32:01.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.047,15.31
2017-12-21T21:32:01.000Z,61428eec9d85,poll_server_1,0.16,47.36,15.31
2017-12-21T21:32:03.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.047,15.31
2017-12-21T21:32:03.000Z,61428eec9d85,poll_server_1,3.00,48.34,15.31
2017-12-21T21:32:05.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.047,15.31
2017-12-21T21:32:05.000Z,61428eec9d85,poll_server_1,0.18,35.46,15.31
2017-12-21T21:32:07.000Z,5ecd478a4f74,poll_nginx_1,0.10,3.105,15.31
2017-12-21T21:32:07.000Z,61428eec9d85,poll_server_1,1.40,35.84,15.31
2017-12-21T21:32:09.000Z,5ecd478a4f74,poll_nginx_1,0.23,3.105,15.31
2017-12-21T21:32:09.000Z,61428eec9d85,poll_server_1,0.66,35.99,15.31
2017-12-21T21:32:11.000Z,5ecd478a4f74,poll_nginx_1,0.09,3.105,15.31
2017-12-21T21:32:11.000Z,61428eec9d85,poll_server_1,0.38,36.35,15.31
2017-12-21T21:32:13.000Z,5ecd478a4f74,poll_nginx_1,0.50,3.156,15.31
2017-12-21T21:32:13.000Z,61428eec9d85,poll_server_1,2.13,36.89,15.31
2017-12-21T21:32:15.000Z,5ecd478a4f74,poll_nginx_1,0.14,3.16,15.31
2017-12-21T21:32:15.000Z,61428eec9d85,poll_server_1,0.52,37.05,15.31
2017-12-21T21:32:17.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.16,15.31
2017-12-21T21:32:17.000Z,61428eec9d85,poll_server_1,0.17,37.11,15.31
2017-12-21T21:32:19.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.16,15.31
2017-12-21T21:32:19.000Z,61428eec9d85,poll_server_1,0.17,37.27,15.31
2017-12-21T21:32:21.000Z,5ecd478a4f74,poll_nginx_1,0.27,3.16,15.31
2017-12-21T21:32:21.000Z,61428eec9d85,poll_server_1,2.92,38.21,15.31
2017-12-21T21:32:23.000Z,5ecd478a4f74,poll_nginx_1,0.20,3.16,15.31
2017-12-21T21:32:23.000Z,61428eec9d85,poll_server_1,1.16,34.43,15.31
2017-12-21T21:32:25.000Z,5ecd478a4f74,poll_nginx_1,0.13,3.277,15.31
2017-12-21T21:32:25.000Z,61428eec9d85,poll_server_1,0.44,34.44,15.31
2017-12-21T21:32:27.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.16,15.31
2017-12-21T21:32:27.000Z,61428eec9d85,poll_server_1,0.14,34.57,15.31
2017-12-21T21:32:29.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.16,15.31
2017-12-21T21:32:29.000Z,61428eec9d85,poll_server_1,0.14,34.59,15.31
2017-12-21T21:32:31.000Z,5ecd478a4f74,poll_nginx_1,0.19,3.16,15.31
2017-12-21T21:32:31.000Z,61428eec9d85,poll_server_1,0.67,34.49,15.31
2017-12-21T21:32:33.000Z,5ecd478a4f74,poll_nginx_1,0.15,3.16,15.31
2017-12-21T21:32:33.000Z,61428eec9d85,poll_server_1,0.50,34.5,15.31
2017-12-21T21:32:35.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.16,15.31
2017-12-21T21:32:35.000Z,61428eec9d85,poll_server_1,0.15,34.52,15.31
2017-12-21T21:32:37.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.16,15.31
2017-12-21T21:32:37.000Z,61428eec9d85,poll_server_1,0.14,33.82,15.31
2017-12-21T21:32:39.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.195,15.31
2017-12-21T21:32:39.000Z,61428eec9d85,poll_server_1,0.15,33.98,15.31
2017-12-21T21:32:41.000Z,5ecd478a4f74,poll_nginx_1,0.27,3.195,15.31
2017-12-21T21:32:41.000Z,61428eec9d85,poll_server_1,0.70,34.3,15.31
2017-12-21T21:32:43.000Z,5ecd478a4f74,poll_nginx_1,0.31,3.195,15.31
2017-12-21T21:32:43.000Z,61428eec9d85,poll_server_1,0.64,34.52,15.31
2017-12-21T21:32:45.000Z,5ecd478a4f74,poll_nginx_1,0.13,3.195,15.31
2017-12-21T21:32:45.000Z,61428eec9d85,poll_server_1,1.93,32.95,15.31
2017-12-21T21:32:47.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.195,15.31
2017-12-21T21:32:47.000Z,61428eec9d85,poll_server_1,0.28,32.77,15.31
2017-12-21T21:32:49.000Z,5ecd478a4f74,poll_nginx_1,0.22,3.195,15.31
2017-12-21T21:32:49.000Z,61428eec9d85,poll_server_1,0.72,33.12,15.31
2017-12-21T21:32:51.000Z,5ecd478a4f74,poll_nginx_1,0.05,3.195,15.31
2017-12-21T21:32:51.000Z,61428eec9d85,poll_server_1,0.22,33.23,15.31
2017-12-21T21:32:53.000Z,5ecd478a4f74,poll_nginx_1,0.07,3.195,15.31
2017-12-21T21:32:53.000Z,61428eec9d85,poll_server_1,1.38,32.05,15.31
2017-12-21T21:32:55.000Z,5ecd478a4f74,poll_nginx_1,0.00,3.195,15.31
2017-12-21T21:32:55.000Z,61428eec9d85,poll_server_1,0.31,31.96,15.31
2017-12-21T21:32:57.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.75,15.31
2017-12-21T21:32:57.000Z,61428eec9d85,poll_server_1,0.19,32.16,15.31
2017-12-21T21:32:59.000Z,5ecd478a4f74,poll_nginx_1,0.07,2.77,15.31
2017-12-21T21:32:59.000Z,61428eec9d85,poll_server_1,0.32,32.64,15.31
2017-12-21T21:33:01.000Z,5ecd478a4f74,poll_nginx_1,0.10,2.77,15.31
2017-12-21T21:33:01.000Z,61428eec9d85,poll_server_1,0.41,32.69,15.31
2017-12-21T21:33:03.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.77,15.31
2017-12-21T21:33:03.000Z,61428eec9d85,poll_server_1,0.20,32.72,15.31
2017-12-21T21:33:05.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.77,15.31
2017-12-21T21:33:05.000Z,61428eec9d85,poll_server_1,0.19,32.8,15.31
2017-12-21T21:33:07.000Z,5ecd478a4f74,poll_nginx_1,0.04,2.77,15.31
2017-12-21T21:33:07.000Z,61428eec9d85,poll_server_1,0.23,32.96,15.31
2017-12-21T21:33:09.000Z,5ecd478a4f74,poll_nginx_1,0.02,2.77,15.31
2017-12-21T21:33:09.000Z,61428eec9d85,poll_server_1,0.21,32.23,15.31
2017-12-21T21:33:11.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.77,15.31
2017-12-21T21:33:11.000Z,61428eec9d85,poll_server_1,0.22,32.39,15.31
2017-12-21T21:33:13.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.77,15.31
2017-12-21T21:33:13.000Z,61428eec9d85,poll_server_1,0.17,32.61,15.31
2017-12-21T21:33:15.000Z,5ecd478a4f74,poll_nginx_1,0.02,2.77,15.31
2017-12-21T21:33:15.000Z,61428eec9d85,poll_server_1,1.31,33.03,15.31
2017-12-21T21:33:17.000Z,5ecd478a4f74,poll_nginx_1,0.02,2.77,15.31
2017-12-21T21:33:17.000Z,61428eec9d85,poll_server_1,0.15,33.12,15.31
2017-12-21T21:33:19.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.77,15.31
2017-12-21T21:33:19.000Z,61428eec9d85,poll_server_1,0.20,33.28,15.31
2017-12-21T21:33:21.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.805,15.31
2017-12-21T21:33:21.000Z,61428eec9d85,poll_server_1,0.19,32.75,15.31
2017-12-21T21:33:23.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.805,15.31
2017-12-21T21:33:23.000Z,61428eec9d85,poll_server_1,0.37,32.91,15.31
2017-12-21T21:33:25.000Z,5ecd478a4f74,poll_nginx_1,0.03,2.805,15.31
2017-12-21T21:33:25.000Z,61428eec9d85,poll_server_1,0.19,33.15,15.31
2017-12-21T21:33:27.000Z,5ecd478a4f74,poll_nginx_1,0.00,2.805,15.31
2017-12-21T21:33:27.000Z,61428eec9d85,poll_server_1,0.20,33.34,15.31
