TIMESTAMP,CONTAINER,NAME,CPU%,MEM USAGE (MiB),LIMIT (GiB)
2017-12-14T12:42:14.000Z,dfd3fdf9a637,--,0.00,,
2017-12-14T12:42:16.000Z,dfd3fdf9a637,poll_server_1,0.00,47.25,15.31
2017-12-14T12:42:16.000Z,d2b7a350368d,poll_nginx_1,0.00,3.117,15.31
2017-12-14T12:42:18.000Z,d2b7a350368d,poll_nginx_1,0.00,3.117,15.31
2017-12-14T12:42:18.000Z,dfd3fdf9a637,poll_server_1,0.00,47.25,15.31
2017-12-14T12:42:20.000Z,d2b7a350368d,poll_nginx_1,0.00,3.117,15.31
2017-12-14T12:42:20.000Z,dfd3fdf9a637,poll_server_1,0.64,47.27,15.31
2017-12-14T12:42:22.000Z,d2b7a350368d,poll_nginx_1,0.00,3.117,15.31
2017-12-14T12:42:22.000Z,dfd3fdf9a637,poll_server_1,0.00,47.27,15.31
2017-12-14T12:42:24.000Z,d2b7a350368d,poll_nginx_1,0.00,3.117,15.31
2017-12-14T12:42:24.000Z,dfd3fdf9a637,poll_server_1,1.24,35.52,15.31
2017-12-14T12:42:26.000Z,d2b7a350368d,poll_nginx_1,0.00,3.125,15.31
2017-12-14T12:42:26.000Z,dfd3fdf9a637,poll_server_1,0.00,35.39,15.31
2017-12-14T12:42:28.000Z,d2b7a350368d,poll_nginx_1,0.55,3.195,15.31
2017-12-14T12:42:28.000Z,dfd3fdf9a637,poll_server_1,1.60,36.29,15.31
2017-12-14T12:42:30.000Z,d2b7a350368d,poll_nginx_1,0.54,3.246,15.31
2017-12-14T12:42:30.000Z,dfd3fdf9a637,poll_server_1,1.58,36.97,15.31
2017-12-14T12:42:32.000Z,d2b7a350368d,poll_nginx_1,1.20,3.309,15.31
2017-12-14T12:42:32.000Z,dfd3fdf9a637,poll_server_1,2.77,33.37,15.31
2017-12-14T12:42:34.000Z,d2b7a350368d,poll_nginx_1,0.35,3.309,15.31
2017-12-14T12:42:34.000Z,dfd3fdf9a637,poll_server_1,0.00,33.26,15.31
2017-12-14T12:42:36.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:36.000Z,dfd3fdf9a637,poll_server_1,0.01,33.2,15.31
2017-12-14T12:42:38.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:38.000Z,dfd3fdf9a637,poll_server_1,0.00,33.2,15.31
2017-12-14T12:42:40.000Z,d2b7a350368d,poll_nginx_1,0.35,3.344,15.31
2017-12-14T12:42:40.000Z,dfd3fdf9a637,poll_server_1,0.93,33.73,15.31
2017-12-14T12:42:42.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:42.000Z,dfd3fdf9a637,poll_server_1,0.00,33.63,15.31
2017-12-14T12:42:44.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:44.000Z,dfd3fdf9a637,poll_server_1,0.00,33.63,15.31
2017-12-14T12:42:46.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:46.000Z,dfd3fdf9a637,poll_server_1,0.01,32.21,15.31
2017-12-14T12:42:48.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:48.000Z,dfd3fdf9a637,poll_server_1,0.00,32.21,15.31
2017-12-14T12:42:50.000Z,d2b7a350368d,poll_nginx_1,0.37,3.344,15.31
2017-12-14T12:42:50.000Z,dfd3fdf9a637,poll_server_1,1.01,32.7,15.31
2017-12-14T12:42:52.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:52.000Z,dfd3fdf9a637,poll_server_1,0.00,32.7,15.31
2017-12-14T12:42:54.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:54.000Z,dfd3fdf9a637,poll_server_1,1.25,31.17,15.31
2017-12-14T12:42:56.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:56.000Z,dfd3fdf9a637,poll_server_1,0.01,31.67,15.31
2017-12-14T12:42:58.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:42:58.000Z,dfd3fdf9a637,poll_server_1,0.00,31.67,15.31
2017-12-14T12:43:00.000Z,d2b7a350368d,poll_nginx_1,0.45,3.344,15.31
2017-12-14T12:43:00.000Z,dfd3fdf9a637,poll_server_1,1.23,31.6,15.31
2017-12-14T12:43:02.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:43:02.000Z,dfd3fdf9a637,poll_server_1,0.00,31.49,15.31
2017-12-14T12:43:04.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:43:04.000Z,dfd3fdf9a637,poll_server_1,0.00,31.49,15.31
2017-12-14T12:43:06.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:43:06.000Z,dfd3fdf9a637,poll_server_1,0.01,31.71,15.31
2017-12-14T12:43:08.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:43:08.000Z,dfd3fdf9a637,poll_server_1,0.00,31.71,15.31
2017-12-14T12:43:10.000Z,d2b7a350368d,poll_nginx_1,0.38,3.344,15.31
2017-12-14T12:43:10.000Z,dfd3fdf9a637,poll_server_1,0.84,32.18,15.31
2017-12-14T12:43:12.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:43:12.000Z,dfd3fdf9a637,poll_server_1,0.00,32.08,15.31
2017-12-14T12:43:14.000Z,d2b7a350368d,poll_nginx_1,0.00,3.344,15.31
2017-12-14T12:43:14.000Z,dfd3fdf9a637,poll_server_1,0.00,32.08,15.31
2017-12-14T12:43:16.000Z,d2b7a350368d,poll_nginx_1,0.00,2.891,15.31
2017-12-14T12:43:16.000Z,dfd3fdf9a637,poll_server_1,0.01,32.36,15.31
2017-12-14T12:43:18.000Z,d2b7a350368d,poll_nginx_1,0.00,2.891,15.31
2017-12-14T12:43:18.000Z,dfd3fdf9a637,poll_server_1,0.00,32.36,15.31
2017-12-14T12:43:20.000Z,d2b7a350368d,poll_nginx_1,0.22,2.891,15.31
2017-12-14T12:43:20.000Z,dfd3fdf9a637,poll_server_1,0.89,32.22,15.31
2017-12-14T12:43:22.000Z,d2b7a350368d,poll_nginx_1,0.00,2.891,15.31
2017-12-14T12:43:22.000Z,dfd3fdf9a637,poll_server_1,0.00,32.22,15.31
