TIMESTAMP,CONTAINER,NAME,CPU%,MEM USAGE (MiB),LIMIT (GiB)
2018-01-25T20:36:41.000Z,f257551dff4d,--,0.00,,
2018-01-25T20:36:41.000Z,8215b9c11334,--,0.00,,
2018-01-25T20:36:44.000Z,8215b9c11334,poll_nginx_1,0.00,3.113,15.3
2018-01-25T20:36:44.000Z,f257551dff4d,poll_server_1,0.57,47.12,15.3
2018-01-25T20:36:46.000Z,8215b9c11334,poll_nginx_1,1.85,3.27,15.3
2018-01-25T20:36:46.000Z,f257551dff4d,poll_server_1,5.61,48.32,15.3
2018-01-25T20:36:48.000Z,8215b9c11334,poll_nginx_1,1.64,3.301,15.3
2018-01-25T20:36:48.000Z,f257551dff4d,poll_server_1,4.30,44.49,15.3
2018-01-25T20:36:50.000Z,8215b9c11334,poll_nginx_1,1.73,3.309,15.3
2018-01-25T20:36:50.000Z,f257551dff4d,poll_server_1,6.20,45.57,15.3
2018-01-25T20:36:52.000Z,8215b9c11334,poll_nginx_1,0.71,3.418,15.3
2018-01-25T20:36:52.000Z,f257551dff4d,poll_server_1,1.45,32.73,15.3
2018-01-25T20:36:54.000Z,8215b9c11334,poll_nginx_1,0.57,3.512,15.3
2018-01-25T20:36:54.000Z,f257551dff4d,poll_server_1,2.08,33.01,15.3
2018-01-25T20:36:56.000Z,8215b9c11334,poll_nginx_1,0.77,3.512,15.3
2018-01-25T20:36:56.000Z,f257551dff4d,poll_server_1,1.96,32.89,15.3
2018-01-25T20:36:58.000Z,8215b9c11334,poll_nginx_1,0.63,3.531,15.3
2018-01-25T20:36:58.000Z,f257551dff4d,poll_server_1,3.76,32.63,15.3
2018-01-25T20:37:00.000Z,8215b9c11334,poll_nginx_1,0.72,3.531,15.3
2018-01-25T20:37:00.000Z,f257551dff4d,poll_server_1,1.74,32.54,15.3
2018-01-25T20:37:02.000Z,8215b9c11334,poll_nginx_1,0.54,3.531,15.3
2018-01-25T20:37:02.000Z,f257551dff4d,poll_server_1,2.04,32.89,15.3
2018-01-25T20:37:04.000Z,8215b9c11334,poll_nginx_1,0.81,3.531,15.3
2018-01-25T20:37:04.000Z,f257551dff4d,poll_server_1,2.00,33.21,15.3
2018-01-25T20:37:06.000Z,8215b9c11334,poll_nginx_1,0.56,3.531,15.3
2018-01-25T20:37:06.000Z,f257551dff4d,poll_server_1,1.93,32.7,15.3
2018-01-25T20:37:08.000Z,8215b9c11334,poll_nginx_1,0.77,3.582,15.3
2018-01-25T20:37:08.000Z,f257551dff4d,poll_server_1,1.66,33.04,15.3
2018-01-25T20:37:10.000Z,8215b9c11334,poll_nginx_1,0.73,3.586,15.3
2018-01-25T20:37:10.000Z,f257551dff4d,poll_server_1,2.15,33.41,15.3
2018-01-25T20:37:12.000Z,8215b9c11334,poll_nginx_1,0.38,3.586,15.3
2018-01-25T20:37:12.000Z,f257551dff4d,poll_server_1,2.56,34.22,15.3
2018-01-25T20:37:14.000Z,8215b9c11334,poll_nginx_1,0.79,3.605,15.3
2018-01-25T20:37:14.000Z,f257551dff4d,poll_server_1,1.62,34.55,15.3
2018-01-25T20:37:16.000Z,8215b9c11334,poll_nginx_1,0.75,3.625,15.3
2018-01-25T20:37:16.000Z,f257551dff4d,poll_server_1,1.53,33.98,15.3
2018-01-25T20:37:18.000Z,8215b9c11334,poll_nginx_1,0.72,3.625,15.3
2018-01-25T20:37:18.000Z,f257551dff4d,poll_server_1,1.36,34.06,15.3
2018-01-25T20:37:20.000Z,8215b9c11334,poll_nginx_1,0.00,3.625,15.3
2018-01-25T20:37:20.000Z,f257551dff4d,poll_server_1,0.13,34.11,15.3
2018-01-25T20:37:22.000Z,8215b9c11334,poll_nginx_1,0.85,3.625,15.3
2018-01-25T20:37:22.000Z,f257551dff4d,poll_server_1,1.88,34.71,15.3
2018-01-25T20:37:24.000Z,8215b9c11334,poll_nginx_1,0.77,3.625,15.3
2018-01-25T20:37:24.000Z,f257551dff4d,poll_server_1,1.34,34.96,15.3
2018-01-25T20:37:26.000Z,8215b9c11334,poll_nginx_1,0.64,3.625,15.3
2018-01-25T20:37:26.000Z,f257551dff4d,poll_server_1,1.41,35.44,15.3
2018-01-25T20:37:28.000Z,8215b9c11334,poll_nginx_1,0.70,3.625,15.3
2018-01-25T20:37:28.000Z,f257551dff4d,poll_server_1,2.00,36.73,15.3
2018-01-25T20:37:30.000Z,8215b9c11334,poll_nginx_1,0.56,3.625,15.3
2018-01-25T20:37:30.000Z,f257551dff4d,poll_server_1,1.63,37.85,15.3
2018-01-25T20:37:32.000Z,8215b9c11334,poll_nginx_1,0.77,3.625,15.3
2018-01-25T20:37:32.000Z,f257551dff4d,poll_server_1,1.58,39.04,15.3
2018-01-25T20:37:34.000Z,8215b9c11334,poll_nginx_1,0.54,3.645,15.3
2018-01-25T20:37:34.000Z,f257551dff4d,poll_server_1,2.56,40.17,15.3
2018-01-25T20:37:36.000Z,8215b9c11334,poll_nginx_1,0.77,3.645,15.3
2018-01-25T20:37:36.000Z,f257551dff4d,poll_server_1,2.17,40.84,15.3
2018-01-25T20:37:38.000Z,8215b9c11334,poll_nginx_1,0.37,3.645,15.3
2018-01-25T20:37:38.000Z,f257551dff4d,poll_server_1,0.95,40.62,15.3
2018-01-25T20:37:40.000Z,8215b9c11334,poll_nginx_1,0.71,3.645,15.3
2018-01-25T20:37:40.000Z,f257551dff4d,poll_server_1,1.83,40.51,15.3
2018-01-25T20:37:42.000Z,8215b9c11334,poll_nginx_1,0.68,3.223,15.3
